"Name","License"
"CacheControl","Apache Software License"
"Flask","BSD License"
"Flask-SQLAlchemy","BSD License"
"Flask-Testing","BSD License"
"GitPython","BSD License"
"Jinja2","BSD License"
"MarkupSafe","BSD License"
"PySocks","BSD"
"PyYAML","MIT License"
"Pygments","BSD License"
"SQLAlchemy","MIT License"
"SecretStorage","BSD License"
"Werkzeug","BSD License"
"astroid","GNU Lesser General Public License v2 (LGPLv2)"
"attrs","MIT License"
"bandit","Apache Software License"
"black","MIT License"
"blinker","MIT License"
"boolean.py","BSD-2-Clause"
"build","MIT License"
"certifi","Mozilla Public License 2.0 (MPL 2.0)"
"cffi","MIT License"
"charset-normalizer","MIT License"
"cleo","MIT License"
"click","BSD License"
"colorama","BSD License"
"colorlog","MIT License"
"coverage","Apache Software License"
"crashtest","MIT License"
"cryptography","Apache Software License; BSD License"
"cyclonedx-python-lib","Apache Software License"
"defusedxml","Python Software Foundation License"
"detect-secrets","Apache Software License"
"dill","BSD License"
"distlib","Python Software Foundation License"
"docker","Apache Software License"
"dulwich","Apache Software License"
"fastjsonschema","BSD License"
"filelock","The Unlicense (Unlicense)"
"flake8","MIT License"
"future","MIT License"
"gitdb","BSD License"
"greenlet","MIT License"
"gunicorn","MIT License"
"h11","MIT License"
"html5lib","MIT License"
"idna","BSD License"
"installer","MIT License"
"isort","MIT License"
"itsdangerous","BSD License"
"jaraco.classes","MIT License"
"jeepney","MIT License"
"jsonschema","MIT License"
"jsonschema-specifications","MIT License"
"jupyter_core","BSD License"
"keyring","MIT License"
"license-expression","Apache-2.0"
"lockfile","MIT License"
"mando","MIT License"
"markdown-it-py","MIT License"
"mccabe","MIT License"
"mdurl","MIT License"
"more-itertools","MIT License"
"msgpack","Apache Software License"
"mypy-extensions","MIT License"
"nbformat","BSD License"
"outcome","Apache Software License; MIT License"
"packageurl-python","MIT License"
"packaging","Apache Software License; BSD License"
"pathspec","Mozilla Public License 2.0 (MPL 2.0)"
"pbr","Apache Software License"
"pexpect","ISC License (ISCL)"
"pip-api","Apache Software License"
"pip-requirements-parser","MIT"
"pip_audit","Apache Software License"
"pkginfo","MIT License"
"platformdirs","MIT License"
"plotly","MIT License"
"poetry","MIT License"
"poetry-core","MIT License"
"poetry-plugin-export","MIT License"
"progress","ISC License (ISCL)"
"ptyprocess","ISC License (ISCL)"
"py-serializable","Apache Software License"
"pycodestyle","MIT License"
"pycparser","BSD License"
"pyflakes","MIT License"
"pylint","GNU General Public License v2 (GPLv2)"
"pyparsing","MIT License"
"pyproject_hooks","MIT License"
"radon","MIT License"
"rapidfuzz","MIT License"
"referencing","MIT License"
"requests","Apache Software License"
"requests-toolbelt","Apache Software License"
"rich","MIT License"
"rpds-py","MIT License"
"selenium","Apache Software License"
"shellingham","ISC License (ISCL)"
"six","MIT License"
"smmap","BSD License"
"sniffio","Apache Software License; MIT License"
"sortedcontainers","Apache Software License"
"stevedore","Apache Software License"
"tabulate","MIT License"
"tenacity","Apache Software License"
"toml","MIT License"
"tomlkit","MIT License"
"traitlets","BSD License"
"trio","Apache Software License; MIT License"
"trio-websocket","MIT License"
"trove-classifiers","Apache Software License"
"typing_extensions","Python Software Foundation License"
"urllib3","MIT License"
"virtualenv","MIT License"
"webencodings","BSD License"
"websocket-client","Apache Software License"
"wily","Apache Software License"
"wsproto","MIT License"
